"BibNumber","MinutesStartAfterNine","FinishMinutes"
1047,60.57,168.07
1048,60.7,168.97
1050,60.88,181.43
1051,60.7,177.58
1052,60.28,165.89
1053,60.55,195.54
1055,60.68,164.45
1056,60.93,209.12
1057,60.5,NA
1058,60.57,168.53
1059,60.67,160.67
1060,60.9,177.03
1061,60.67,165.01
1062,60.6,163.94
1063,60.85,166.18
1066,60.57,164.66
1067,60.67,192.21
1068,61,171.46
1069,61.13,225.45
1071,60.65,173.2
1072,60.47,169.65
1073,60.92,168.59
1074,60.7,159
1075,60.72,170.54
1076,60.65,176.14
1077,60.5,166.01
1078,60.87,185.99
1079,60.52,171.61
1080,60.8,183.49
1082,60.67,169.43
1085,60.83,183.42
1086,60.87,168.55
1087,60.6,169.39
1088,60.77,167.94
1089,61.28,193.67
1091,61.17,169.31
1092,60.57,165.03
1093,60.5,169.89
1095,60.5,167.56
1096,60.55,173.86
1097,60.62,165.29
1099,60.53,178.32
1100,63.23,177.66
1101,60.62,170.4
1102,60.45,167.47
1103,60.47,159.64
1104,60,207.73
1105,60.87,179.67
1106,60.73,169.61
1107,60.47,168.3
1108,60.88,177.55
1109,60.48,182.69
1110,60.75,177
1111,60.92,180.06
1112,60.5,162.14
1113,60.57,176.85
1114,60.8,173.03
1116,60.58,169.98
1117,60.83,207.36
1118,60.77,191.11
1119,60.57,167.87
1120,60.62,186.23
1121,60.75,196.69
1122,60.82,170.23
1123,60.65,154.1
1124,60.92,182.19
1126,60.48,166.81
1127,60.87,169.21
1129,60.53,178.71
1130,81.13,208.12
1131,60.63,175.08
1133,65.77,196.5
1135,60.65,164.85
1136,60.68,172.88
1137,60.62,181.75
1138,61.17,212.3
1139,60.9,176.96
1140,60.58,175.76
1141,60.87,174.98
1142,60.87,167.08
1143,60.68,179.13
1144,60.53,168.72
1145,60.62,170.69
1146,61,186.37
1147,60.68,179.78
1149,60.63,176.81
1150,60.58,156.96
1151,60.68,177.57
1153,60.92,168.13
1154,60.58,169.24
1155,60.63,177.24
1156,60.93,178.11
1158,60.53,161.24
1159,60.73,175.67
1160,60.77,214.49
1161,60.55,188.9
1163,60.83,176.71
1165,60.78,178.26
1166,60.7,202.02
1167,60.5,173.62
1168,60.77,166.61
1169,60.6,169.56
1170,60.6,179
1172,60.8,169.54
1173,60.77,190.36
1174,61.07,176.54
1175,60.53,174.21
1176,60.57,169.15
1177,60.72,167.27
1179,60.6,183.1
1180,60.8,171.2
1181,60.63,167.81
1182,60.67,173.47
1183,60.73,169.76
1185,60.62,168.56
1186,60.65,172.99
1187,60.5,167.84
1188,61.03,165.23
1190,60.87,171.43
1191,60.75,185.35
1192,60.6,168.59
1193,60.65,181.41
1194,60.67,167.75
1195,60.9,169.94
1196,60.72,184.77
1198,60.68,173.85
1199,60.92,171.35
1200,60.57,172.05
1201,60.55,161.76
1202,60.52,170.39
1204,60.95,176.65
1205,60.55,168.23
1206,60.67,169.43
1208,60.52,177.47
1209,60.7,170.89
1210,60.57,175.08
1211,61.07,186.77
1212,60.92,171.63
1214,60.52,170.5
1215,60.47,178.76
1216,60.85,233.22
1217,60.45,177.65
1219,60.55,169.69
1220,60.78,180.61
1221,60.67,172.19
1222,60.52,173.11
1223,60.82,175.65
1226,60.83,185.13
1227,60.57,173.61
1228,60.37,149.32
1229,60.62,170.47
1231,60.58,205.29
1232,60.98,157.92
1234,60.72,179.71
1235,60.72,170.79
1236,60.9,163.7
1237,60.95,178.51
1238,60.57,163.78
1241,60.65,166.1
1242,62.6,176.51
1243,60.95,168.51
1244,60.53,160.59
1245,60.97,175
1246,60.52,174.92
1247,61.05,168.32
1249,60.58,158.88
1250,60.9,173.89
1251,60.7,188.08
1252,60.9,179.23
1253,60.52,174.65
1254,60.53,167.79
1255,60.5,172.36
1256,60.47,168.5
1257,60.62,174.66
1258,60.73,174.15
1259,60.85,174.51
1260,60.78,209.29
1262,60.37,166.64
1263,60.75,167
1264,60.58,NA
1265,60.58,166.88
1266,60.72,163.35
1267,60.5,162.49
1268,60.85,181.93
1269,60.82,171.88
1272,60.68,162.49
1273,60.97,176.77
1275,60.92,188.83
1276,60.95,167.13
1277,60.37,177.7
1278,60.75,177.98
1279,60.75,172.49
1280,60.62,169.25
1282,60.65,169.66
1284,63.8,229.07
1285,60.78,172.83
1286,60.48,176.11
1287,60.85,197.67
1288,60.52,169.56
1290,60.72,173.19
1291,60.62,170.58
1292,60.75,177.22
1293,60.55,169.21
1294,60.65,186.03
1295,60.83,178.93
1297,60.75,176.83
1298,60.43,169.08
1299,60.93,161.03
1300,60.48,163.24
1301,63.63,214.51
1302,60.48,171.91
1303,61.02,202.76
1304,61.63,219.01
1305,60.52,177.88
1306,60.48,198.82
1307,60.58,193.83
1308,60.58,175.74
1309,60.42,176.18
1310,60.73,199.49
1311,60.27,189.55
1312,60.62,157.73
1313,60.42,177.94
1315,61,165.64
1316,60.52,174.32
1317,60.67,180.91
1318,60.7,175.3
1319,60.87,169.6
1320,60.5,160.67
1321,64.33,NA
1322,60.58,170.65
1323,61.23,178.39
1324,60.57,169.15
1325,60.62,175.94
1326,60.68,180.17
1327,81.2,213.52
1328,60.48,171.59
1329,60.38,166.68
1330,60.48,164.33
1331,60.65,182.52
1332,60.75,178.9
1333,60.93,185.66
1334,60.7,174.29
1335,60.73,179.63
1336,60.92,191.18
1337,60.5,169.47
1338,60.97,170.67
1339,60.92,165.2
1340,60.55,205.49
1341,61.02,182
1342,60.62,173.75
1343,60.58,180.51
1344,60.65,194.72
1345,60.87,180.95
1346,61.5,NA
1347,61.07,178.33
1348,60.85,187.31
1349,60.47,166.51
1350,61.03,178.84
1351,61.55,268.3
1352,60.48,174.47
1353,60.52,171.41
1355,61.67,174.38
1356,60.88,172.94
1357,60.83,181.37
1358,60.35,160.3
1359,60.52,197.57
1360,60.53,154.92
1361,60.6,168.36
1362,60.6,178.81
1363,60.63,174.37
1364,60.98,206.5
1365,61.02,184.17
1366,60.82,172.78
1367,60.55,170.1
1368,60.75,164.11
1369,60.63,168.67
1370,60.93,165.86
1372,60.7,169.36
1373,60.47,216.84
1374,60.92,NA
1375,60.77,194.21
1379,60.58,176.1
1380,60.75,177.07
1381,61.57,165.78
1382,60.78,172.47
1383,60.6,200.77
1384,60.87,184.7
1385,60.98,176.46
1386,60.85,171.79
1387,60.68,189.05
1389,60.58,173.25
1390,60.58,205.5
1392,60.48,189.95
1393,60.73,173.91
1394,60.53,194.53
1395,60.43,156.09
1396,60.82,167.65
1397,60.43,175.27
1398,60.63,179.82
1399,60.58,181.05
1403,60.9,177.92
1405,60.77,169.83
1406,60.75,165.49
1408,60.6,166.73
1409,60.53,177.22
1412,61.03,174.4
1414,60.9,201.12
1416,63.07,220.78
1417,60.68,181.36
1418,60.85,184.44
1419,60.77,174.19
1420,60.33,167.16
1421,60.55,175.19
1423,60.97,198.35
1425,60.87,178.98
1426,61.03,196.53
1427,61.2,201.06
1428,60.33,173.28
1429,60.42,169.72
1430,60.75,171.37
1431,60.8,178.64
1433,60.7,181.12
1434,60.55,180.36
1435,60.7,241.59
1436,60.57,181.71
1437,60.68,161.35
1438,60.52,197.43
1439,60.85,169.61
1440,60.97,188.11
1441,60.97,185.35
1442,60.88,178.21
1444,60.52,166.04
1448,60.77,179.79
1449,60.53,170.28
1450,60.8,164.63
1451,60.92,179.73
1452,60.5,173.88
1453,60.9,167.85
1454,60.68,191.16
1455,60.98,174.46
1456,60.95,163.16
1457,60.83,181.62
1459,61.3,174.28
1460,60.53,161.73
1461,61.65,177.9
1463,60.68,186.12
1464,60.37,180.64
1466,60.47,166.9
1467,60.38,177.22
1468,60.58,157.16
1469,60.62,176.9
1470,60.82,174.5
1471,61.05,166.02
1472,60.7,181.26
